split,tile,z,x,y,patches,unique_source_tiles,mae_rgb,psnr_rgb,global_ssim_luma,val_rs_path,generated_map_path,target_map_path
val,14_7980_5129,14,7980,5129,64,34,15.153865,20.400099,0.239504,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7980_5129.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7980_5129_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7980_5129.png
val,14_7980_5147,14,7980,5147,64,40,13.313863,20.707936,0.197008,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7980_5147.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7980_5147_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7980_5147.png
val,14_7981_5126,14,7981,5126,64,39,20.856726,18.285718,0.150362,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7981_5126.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7981_5126_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7981_5126.png
val,14_7981_5132,14,7981,5132,64,35,13.198196,20.622693,0.168704,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7981_5132.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7981_5132_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7981_5132.png
val,14_7981_5147,14,7981,5147,64,38,12.797058,21.410810,0.352021,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7981_5147.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7981_5147_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7981_5147.png
val,14_7982_5143,14,7982,5143,64,28,13.485555,20.524565,0.301973,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7982_5143.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7982_5143_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7982_5143.png
val,14_7983_5104,14,7983,5104,64,43,16.202505,18.864225,0.212056,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7983_5104.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7983_5104_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7983_5104.png
val,14_7983_5113,14,7983,5113,64,33,11.114436,22.157940,0.315720,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7983_5113.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7983_5113_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7983_5113.png
val,14_7983_5129,14,7983,5129,64,24,6.186015,24.615007,0.349058,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7983_5129.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7983_5129_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7983_5129.png
val,14_7983_5139,14,7983,5139,64,40,18.349442,18.851653,0.247332,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7983_5139.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7983_5139_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7983_5139.png
val,14_7984_5106,14,7984,5106,64,31,11.334946,21.791754,0.558662,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7984_5106.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7984_5106_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7984_5106.png
val,14_7985_5117,14,7985,5117,64,42,23.370758,18.348142,0.233938,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7985_5117.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7985_5117_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7985_5117.png
val,14_7985_5137,14,7985,5137,64,44,18.304083,18.697084,0.176176,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7985_5137.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7985_5137_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7985_5137.png
val,14_7987_5121,14,7987,5121,64,37,16.982758,19.856161,0.219242,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7987_5121.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7987_5121_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7987_5121.png
val,14_7987_5125,14,7987,5125,64,37,13.272202,21.036635,0.279904,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7987_5125.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7987_5125_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7987_5125.png
val,14_7987_5135,14,7987,5135,64,36,17.025278,19.425792,0.217077,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7987_5135.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7987_5135_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7987_5135.png
val,14_7988_5104,14,7988,5104,64,47,24.140076,18.290980,0.344594,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7988_5104.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7988_5104_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7988_5104.png
val,14_7988_5108,14,7988,5108,64,46,18.322897,18.996644,0.495316,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7988_5108.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7988_5108_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7988_5108.png
val,14_7988_5143,14,7988,5143,64,47,17.870123,19.741760,0.248548,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7988_5143.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7988_5143_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7988_5143.png
val,14_7989_5118,14,7989,5118,64,25,28.920019,17.548013,0.449596,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7989_5118.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7989_5118_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7989_5118.png
val,14_7989_5138,14,7989,5138,64,31,15.407079,20.348467,0.246402,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7989_5138.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7989_5138_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7989_5138.png
val,14_7990_5109,14,7990,5109,64,37,16.891596,19.878974,0.532514,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7990_5109.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7990_5109_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7990_5109.png
val,14_7990_5114,14,7990,5114,64,26,14.224605,19.436829,0.184511,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7990_5114.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7990_5114_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7990_5114.png
val,14_7990_5116,14,7990,5116,64,30,13.174144,20.830492,0.397507,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7990_5116.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7990_5116_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7990_5116.png
val,14_7990_5130,14,7990,5130,64,38,15.562261,20.152093,0.203398,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7990_5130.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7990_5130_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7990_5130.png
val,14_7990_5140,14,7990,5140,64,36,11.560252,21.850024,0.311434,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7990_5140.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7990_5140_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7990_5140.png
val,14_7991_5104,14,7991,5104,64,44,17.622965,19.460862,0.465590,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7991_5104.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7991_5104_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7991_5104.png
val,14_7991_5114,14,7991,5114,64,24,11.515717,20.672779,0.270482,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7991_5114.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7991_5114_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7991_5114.png
val,14_7991_5118,14,7991,5118,64,44,15.305084,20.506246,0.217137,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7991_5118.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7991_5118_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7991_5118.png
val,14_7991_5137,14,7991,5137,64,37,17.931122,19.157688,0.271341,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7991_5137.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7991_5137_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7991_5137.png
val,14_7991_5142,14,7991,5142,64,40,15.611653,20.359764,0.235524,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7991_5142.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7991_5142_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7991_5142.png
val,14_7992_5104,14,7992,5104,64,47,28.057383,17.669114,0.369170,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7992_5104.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7992_5104_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7992_5104.png
val,14_7992_5113,14,7992,5113,64,37,20.896994,18.964236,0.290820,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7992_5113.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7992_5113_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7992_5113.png
val,14_7992_5129,14,7992,5129,64,39,14.762177,20.557183,0.253057,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7992_5129.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7992_5129_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7992_5129.png
val,14_7992_5143,14,7992,5143,64,40,15.257538,20.455313,0.277560,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7992_5143.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7992_5143_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7992_5143.png
val,14_7993_5110,14,7993,5110,64,24,11.062459,22.509236,0.410757,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7993_5110.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7993_5110_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7993_5110.png
val,14_7993_5114,14,7993,5114,64,20,11.172832,21.019784,0.293956,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7993_5114.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7993_5114_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7993_5114.png
val,14_7993_5116,14,7993,5116,64,23,10.209691,22.572981,0.221957,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7993_5116.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7993_5116_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7993_5116.png
val,14_7993_5117,14,7993,5117,64,32,15.095367,20.056033,0.282462,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7993_5117.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7993_5117_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7993_5117.png
val,14_7993_5122,14,7993,5122,64,50,23.518515,17.992925,0.196726,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7993_5122.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7993_5122_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7993_5122.png
val,14_7994_5132,14,7994,5132,64,42,11.093471,22.003766,0.322949,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7994_5132.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7994_5132_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7994_5132.png
val,14_7994_5135,14,7994,5135,64,41,17.989100,19.712692,0.285151,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7994_5135.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7994_5135_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7994_5135.png
val,14_7994_5137,14,7994,5137,64,37,17.475653,19.805854,0.247438,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7994_5137.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7994_5137_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7994_5137.png
val,14_7995_5113,14,7995,5113,64,28,15.590215,20.003862,0.277131,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7995_5113.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7995_5113_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7995_5113.png
val,14_7995_5116,14,7995,5116,64,40,20.977713,18.880555,0.182854,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7995_5116.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7995_5116_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7995_5116.png
val,14_7995_5117,14,7995,5117,64,29,13.921361,20.874132,0.353603,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7995_5117.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7995_5117_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7995_5117.png
val,14_7995_5120,14,7995,5120,64,32,9.496150,23.024593,0.369394,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7995_5120.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7995_5120_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7995_5120.png
val,14_7995_5127,14,7995,5127,64,49,30.381165,16.579402,0.204974,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7995_5127.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7995_5127_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7995_5127.png
val,14_7996_5109,14,7996,5109,64,31,14.612305,20.709130,0.407077,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5109.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7996_5109_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5109.png
val,14_7996_5110,14,7996,5110,64,22,9.890050,22.608188,0.244332,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5110.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7996_5110_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5110.png
val,14_7996_5122,14,7996,5122,64,41,15.374660,20.368611,0.222349,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5122.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7996_5122_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5122.png
val,14_7996_5125,14,7996,5125,64,42,22.476608,18.529365,0.466849,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5125.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7996_5125_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5125.png
val,14_7996_5133,14,7996,5133,64,43,17.566833,19.240459,0.229000,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5133.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7996_5133_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5133.png
val,14_7996_5142,14,7996,5142,64,44,16.119837,20.134907,0.257598,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5142.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7996_5142_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5142.png
val,14_7997_5121,14,7997,5121,64,36,14.832744,20.070610,0.256256,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7997_5121.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7997_5121_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7997_5121.png
val,14_7997_5123,14,7997,5123,64,33,10.543813,22.043386,0.427917,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7997_5123.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7997_5123_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7997_5123.png
val,14_7998_5114,14,7998,5114,64,28,18.132416,18.042235,0.112930,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7998_5114.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7998_5114_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7998_5114.png
val,14_7998_5120,14,7998,5120,64,46,14.342977,20.607123,0.220294,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7998_5120.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7998_5120_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7998_5120.png
val,14_7999_5112,14,7999,5112,64,32,17.768219,18.165449,0.114617,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7999_5112.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7999_5112_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7999_5112.png
val,14_7999_5114,14,7999,5114,64,36,20.505106,17.698940,0.260700,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7999_5114.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7999_5114_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7999_5114.png
val,14_7999_5127,14,7999,5127,64,43,26.154108,17.948453,0.301410,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7999_5127.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7999_5127_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7999_5127.png
val,14_8000_5112,14,8000,5112,64,31,20.336969,17.504789,0.114952,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8000_5112.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_8000_5112_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8000_5112.png
val,14_8000_5113,14,8000,5113,64,28,12.918508,21.477225,0.155308,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8000_5113.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_8000_5113_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8000_5113.png
val,14_8000_5116,14,8000,5116,64,26,13.123693,21.363561,0.314301,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8000_5116.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_8000_5116_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8000_5116.png
val,14_8001_5111,14,8001,5111,64,36,22.001358,18.163977,0.150764,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8001_5111.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_8001_5111_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8001_5111.png
val,14_8002_5104,14,8002,5104,64,46,18.362036,19.300178,0.207676,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8002_5104.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_8002_5104_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8002_5104.png
