split,tile,z,x,y,patches,unique_source_tiles,mae_rgb,psnr_rgb,global_ssim_luma,val_rs_path,generated_map_path,target_map_path
val,14_7965_5111,14,7965,5111,64,55,19.905909,19.150028,0.542479,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7965_5111.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7965_5111_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7965_5111.png
val,14_7969_5110,14,7969,5110,64,48,12.993103,20.217702,0.684498,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7969_5110.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7969_5110_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7969_5110.png
val,14_7970_5120,14,7970,5120,64,23,7.985601,22.109011,0.439342,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7970_5120.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7970_5120_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7970_5120.png
val,14_7970_5124,14,7970,5124,64,36,18.681726,19.137194,0.270585,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7970_5124.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7970_5124_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7970_5124.png
val,14_7973_5126,14,7973,5126,64,31,18.472101,19.531030,0.068480,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7973_5126.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7973_5126_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7973_5126.png
val,14_7974_5109,14,7974,5109,64,49,10.733810,21.858719,0.535641,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7974_5109.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7974_5109_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7974_5109.png
val,14_7976_5122,14,7976,5122,64,39,13.563756,20.968872,0.235551,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7976_5122.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7976_5122_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7976_5122.png
val,14_7978_5122,14,7978,5122,64,35,12.784490,21.123457,0.198272,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7978_5122.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7978_5122_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7978_5122.png
val,14_7978_5126,14,7978,5126,64,38,14.304489,20.814593,0.264046,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7978_5126.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7978_5126_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7978_5126.png
val,14_7980_5111,14,7980,5111,64,35,17.458563,19.801545,0.229263,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7980_5111.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7980_5111_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7980_5111.png
val,14_7980_5115,14,7980,5115,64,46,17.407303,19.778395,0.443595,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7980_5115.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7980_5115_patch_embedding_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7980_5115.png
