split,tile,z,x,y,retrieved_train_tile,retrieved_same_zoom,feature_distance,mae_rgb,psnr_rgb,global_ssim_luma,val_rs_path,generated_map_path,target_map_path
val,14_7987_5125,14,7987,5125,14_7974_5127,True,0.056454,3.138489,27.551863,0.457799,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7987_5125.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7987_5125_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7987_5125.png
val,14_7987_5135,14,7987,5135,14_7973_5129,True,0.068672,9.866176,20.431701,0.191824,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7987_5135.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7987_5135_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7987_5135.png
val,14_7988_5104,14,7988,5104,14_7972_5106,True,0.043384,6.168182,23.687753,0.216232,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7988_5104.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7988_5104_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7988_5104.png
val,14_7988_5108,14,7988,5108,14_7973_5106,True,0.080923,16.581335,18.044930,0.114019,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7988_5108.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7988_5108_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7988_5108.png
val,14_7988_5143,14,7988,5143,14_7970_5116,True,0.057416,32.017780,16.901087,0.304399,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7988_5143.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7988_5143_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7988_5143.png
val,14_7989_5118,14,7989,5118,14_7971_5124,True,0.156332,9.762410,22.003070,0.222170,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7989_5118.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7989_5118_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7989_5118.png
val,14_7989_5138,14,7989,5138,14_7975_5120,True,0.060466,31.727945,16.937254,0.457440,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7989_5138.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7989_5138_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7989_5138.png
val,14_7990_5109,14,7990,5109,14_7971_5128,True,0.084336,19.112570,17.551282,0.270207,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7990_5109.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7990_5109_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7990_5109.png
val,14_7990_5114,14,7990,5114,14_7974_5130,True,0.128931,12.326528,20.082573,0.182417,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7990_5114.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7990_5114_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7990_5114.png
val,14_7990_5116,14,7990,5116,14_7969_5123,True,0.061291,33.692570,15.225021,0.079316,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7990_5116.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7990_5116_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7990_5116.png
