split,tile,z,x,y,mae_rgb,psnr_rgb,global_ssim_luma,val_rs_path,generated_map_path,target_map_path
val,14_7983_5139,14,7983,5139,29.869873,17.444280,0.550436,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7983_5139.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7983_5139_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7983_5139.png
val,14_7984_5106,14,7984,5106,25.674871,18.537048,0.157069,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7984_5106.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7984_5106_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7984_5106.png
val,14_7985_5117,14,7985,5117,27.574926,18.282873,0.530607,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7985_5117.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7985_5117_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7985_5117.png
val,14_7985_5137,14,7985,5137,29.827911,17.389564,0.414508,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7985_5137.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7985_5137_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7985_5137.png
val,14_7987_5121,14,7987,5121,28.151703,18.151971,0.633236,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7987_5121.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7987_5121_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7987_5121.png
val,14_7987_5125,14,7987,5125,23.950089,19.173693,0.612686,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7987_5125.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7987_5125_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7987_5125.png
val,14_7987_5135,14,7987,5135,29.564148,17.412179,0.309176,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7987_5135.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7987_5135_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7987_5135.png
val,14_7988_5104,14,7988,5104,30.653488,17.620039,0.217936,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7988_5104.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7988_5104_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7988_5104.png
val,14_7988_5108,14,7988,5108,28.315292,17.821009,0.233728,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7988_5108.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7988_5108_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7988_5108.png
val,14_7988_5143,14,7988,5143,28.299994,18.084068,0.339986,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7988_5143.png,experiments/03_scgm_subset_reproduction/outputs/scgm_tiny_cnn_generated_maps/14_7988_5143_tiny_cnn.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7988_5143.png
