split,tile,z,x,y,retrieved_train_tile,retrieved_same_zoom,feature_distance,mae_rgb,psnr_rgb,global_ssim_luma,val_rs_path,generated_map_path,target_map_path
val,14_7991_5137,14,7991,5137,14_7974_5119,True,0.185635,31.588388,16.862774,0.446423,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7991_5137.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7991_5137_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7991_5137.png
val,14_7991_5142,14,7991,5142,14_7971_5107,True,0.231204,15.364685,19.636430,0.289969,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7991_5142.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7991_5142_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7991_5142.png
val,14_7992_5104,14,7992,5104,14_7972_5119,True,0.211587,30.983206,17.197443,0.538933,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7992_5104.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7992_5104_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7992_5104.png
val,14_7992_5113,14,7992,5113,14_7975_5119,True,0.217936,30.053049,17.141525,0.342702,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7992_5113.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7992_5113_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7992_5113.png
val,14_7992_5129,14,7992,5129,14_7975_5124,True,0.214120,6.984411,23.615170,0.316811,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7992_5129.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7992_5129_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7992_5129.png
val,14_7992_5143,14,7992,5143,14_7970_5125,True,0.223386,3.361832,24.183605,0.398988,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7992_5143.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7992_5143_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7992_5143.png
val,14_7993_5110,14,7993,5110,14_7974_5130,True,0.167574,9.763611,22.643600,0.222859,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7993_5110.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7993_5110_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7993_5110.png
val,14_7993_5114,14,7993,5114,14_7973_5130,True,0.156003,14.403549,19.605767,0.156737,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7993_5114.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7993_5114_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7993_5114.png
val,14_7993_5116,14,7993,5116,14_7973_5130,True,0.165831,11.390971,21.439572,0.184602,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7993_5116.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7993_5116_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7993_5116.png
val,14_7993_5117,14,7993,5117,14_7974_5114,True,0.182789,27.006845,17.605548,0.163472,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7993_5117.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7993_5117_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7993_5117.png
val,14_7993_5122,14,7993,5122,14_7974_5110,True,0.213470,32.029037,16.632186,0.370325,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7993_5122.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7993_5122_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7993_5122.png
val,14_7994_5132,14,7994,5132,14_7973_5124,True,0.218998,30.987076,17.168620,0.561452,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7994_5132.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7994_5132_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7994_5132.png
val,14_7994_5135,14,7994,5135,14_7975_5119,True,0.179813,31.259552,17.102591,0.606878,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7994_5135.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7994_5135_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7994_5135.png
val,14_7994_5137,14,7994,5137,14_7971_5125,True,0.174946,2.316040,29.196602,0.460662,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7994_5137.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7994_5137_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7994_5137.png
val,14_7995_5113,14,7995,5113,14_7976_5111,True,0.203910,32.211544,16.645758,0.249490,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7995_5113.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7995_5113_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7995_5113.png
val,14_7995_5116,14,7995,5116,14_7976_5118,True,0.164835,24.231216,18.305736,0.185242,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7995_5116.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7995_5116_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7995_5116.png
val,14_7995_5117,14,7995,5117,14_7974_5130,True,0.196008,10.131012,22.227899,0.211931,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7995_5117.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7995_5117_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7995_5117.png
val,14_7995_5120,14,7995,5120,14_7973_5130,True,0.173223,13.175557,20.579086,0.099850,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7995_5120.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7995_5120_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7995_5120.png
val,14_7995_5127,14,7995,5127,14_7974_5123,True,0.232584,30.376032,17.333911,0.611942,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7995_5127.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7995_5127_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7995_5127.png
val,14_7996_5109,14,7996,5109,14_7975_5116,True,0.170296,25.677383,18.029553,0.201253,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5109.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7996_5109_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5109.png
val,14_7996_5110,14,7996,5110,14_7973_5130,True,0.179285,12.672704,20.657583,0.102683,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5110.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7996_5110_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5110.png
val,14_7996_5122,14,7996,5122,14_7973_5126,True,0.187239,25.736176,17.942824,-0.000116,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5122.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7996_5122_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5122.png
val,14_7996_5125,14,7996,5125,14_7973_5114,True,0.286983,31.563074,17.108941,0.253887,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5125.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7996_5125_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5125.png
val,14_7996_5133,14,7996,5133,14_7974_5110,True,0.231739,31.993509,16.724313,0.411580,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5133.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7996_5133_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5133.png
val,14_7996_5142,14,7996,5142,14_7975_5108,True,0.194650,31.084799,17.158114,0.612077,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5142.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7996_5142_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5142.png
val,14_7997_5121,14,7997,5121,14_7974_5130,True,0.236766,5.797923,23.496478,0.319468,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7997_5121.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7997_5121_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7997_5121.png
