split,tile,z,x,y,mae_rgb,psnr_rgb,global_ssim_luma,val_rs_path,generated_map_path,target_map_path
val,14_7989_5138,14,7989,5138,19.737589,20.842124,0.644600,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7989_5138.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7989_5138_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7989_5138.png
val,14_7990_5109,14,7990,5109,17.376816,20.773696,0.656253,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7990_5109.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7990_5109_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7990_5109.png
val,14_7990_5114,14,7990,5114,18.033407,19.346750,0.145662,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7990_5114.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7990_5114_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7990_5114.png
val,14_7990_5116,14,7990,5116,18.944269,19.937106,0.045581,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7990_5116.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7990_5116_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7990_5116.png
val,14_7990_5130,14,7990,5130,16.135630,22.632185,0.470844,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7990_5130.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7990_5130_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7990_5130.png
val,14_7990_5140,14,7990,5140,19.214636,21.059205,0.616117,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7990_5140.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7990_5140_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7990_5140.png
val,14_7991_5104,14,7991,5104,24.473562,19.043415,0.536793,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7991_5104.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7991_5104_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7991_5104.png
val,14_7991_5114,14,7991,5114,16.154230,20.384258,0.132295,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7991_5114.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7991_5114_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7991_5114.png
val,14_7991_5118,14,7991,5118,17.181931,21.893308,0.366378,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7991_5118.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7991_5118_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7991_5118.png
val,14_7991_5137,14,7991,5137,18.179022,20.618797,0.340096,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7991_5137.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7991_5137_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7991_5137.png
val,14_7991_5142,14,7991,5142,19.451197,20.651160,0.336058,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7991_5142.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7991_5142_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7991_5142.png
val,14_7992_5104,14,7992,5104,24.875784,19.179190,0.587462,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7992_5104.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7992_5104_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7992_5104.png
val,14_7992_5113,14,7992,5113,19.263620,20.255516,0.016023,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7992_5113.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7992_5113_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7992_5113.png
val,14_7992_5129,14,7992,5129,12.754288,23.242229,0.400199,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7992_5129.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7992_5129_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7992_5129.png
