baseline,tile_a,tile_b,direction,generated_seam_absdiff,target_seam_absdiff,generated_minus_target,stress_ratio,generated_a_path,generated_b_path
learned forest,14_7993_5116,14_7993_5117,down,6.071615,2.083333,3.988281,2.914375,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7993_5116_learned_forest.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7993_5117_learned_forest.png
learned forest,14_7995_5116,14_7995_5117,down,5.000000,6.001302,-1.001302,0.833153,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7995_5116_learned_forest.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7995_5117_learned_forest.png
learned forest,14_7996_5109,14_7996_5110,down,4.231771,2.597656,1.634115,1.629073,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7996_5109_learned_forest.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7996_5110_learned_forest.png
learned forest,14_7998_5114,14_7999_5114,right,4.020833,9.363281,-5.342448,0.429426,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7998_5114_learned_forest.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7999_5114_learned_forest.png
learned forest,14_7999_5112,14_8000_5112,right,4.134115,2.322917,1.811198,1.779709,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_7999_5112_learned_forest.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_8000_5112_learned_forest.png
learned forest,14_8000_5112,14_8000_5113,down,4.161458,4.080729,0.080729,1.019783,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_8000_5112_learned_forest.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_8000_5113_learned_forest.png
learned forest,14_8004_5091,14_8005_5091,right,6.401042,2.190104,4.210937,2.922711,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_8004_5091_learned_forest.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_8005_5091_learned_forest.png
learned forest,14_8010_5105,14_8010_5106,down,5.274740,8.839844,-3.565104,0.596701,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_8010_5105_learned_forest.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_8010_5106_learned_forest.png
learned forest,14_8010_5114,14_8010_5115,down,4.785156,4.307292,0.477865,1.110943,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_8010_5114_learned_forest.png,experiments/03_scgm_subset_reproduction/outputs/scgm_learned_forest_generated_maps/14_8010_5115_learned_forest.png
neural MLP,14_7980_5147,14_7981_5147,right,16.092447,2.743490,13.348958,5.865686,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7980_5147_mlp.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7981_5147_mlp.png
