Split,Reviewed,Mean proxy score,Low,Medium,High,Top issues
MGEval,100,0.946,66,34,0,road_caption_lacks_relation=15; generic_no_feature_claim_needs_visual_review=11; possible_water_omission=10
MapTrain,100,0.914,46,53,1,generic_no_feature_claim_needs_visual_review=38; possible_water_omission=18; road_caption_lacks_relation=7
