Component,Items,Errors,Warnings,Finding
Input geodata lint,,2,0,"boundary.shp.valid_geometry: 1 geometries are invalid.; mainlandburn.shp.crs: Shapefile has no CRS. The coordinates look like lon/lat, but a renderer should explicitly set EPSG:4326."
Released map artifacts,43,0,0,"{'png': 33, 'html': 10}; QA flags={}"
